Alignment	Formula	Before	After	Ratio	Daltons
766.1076	C21H36N7O16P3S	3.6777517198627647	3.935079814560536	0.25732809469777107	767.1152089910801
346.0558	C10H14N5O7P	4.494209361538557	4.634766367690693	0.14055700615213573	347.0630844399
664.117	C21H29N7O14P2	4.46588572359213	4.908479299736705	0.44259357614457356	665.12477189747
347.0589	C20H12O6	3.7535141177891975	3.9136383337033624	0.16012421591416473	348.0633881022
130.0506	C5H9NO3	3.6435209051409174	3.8434429166413655	0.1999220115004484	131.05824315211
249.0552	C8H14N2O5S	3.9850533528914203	4.282819769675228	0.2977664167838082	250.06234255638
365.0531	C10H15N4O9P	3.6204339048201697	3.8741515742465324	0.2537176694263629	366.05766470629
362.0509	C10H14N5O8P	3.621763586918646	3.8340178035693295	0.21225421665068367	363.05799905946003
521.984	C10H16N5O14P3	4.591613978422669	4.869135420882321	0.2775214424596516	522.99066010096
604.0696	C16H25N5O16P2	4.840488757663149	5.176007692758027	0.33551893509487873	605.0771529987101
109.0407	C5H6N2O	4.039578425054414	4.539265674230666	0.4996872491762527	110.04801282157999
135.0311	C5H5N5	4.306527772780675	4.633682721991826	0.3271549492111507	135.05449518435
145.0617	C5H10N2O3	5.341906671153521	5.867711013399539	0.5258043422460179	146.06914218897998
173.0711	C10H10N2O	3.9050991370430777	4.220252480030434	0.3151533429873567	174.07931294986
