Alignment	Formula	Before	After	Ratio	Daltons
296.9997	C9H18NO8P	3.558299433756069	3.8961016359646985	0.33780220220862933	299.07700316854005
338.9889	C6H14O12P2	4.9840286892140435	5.134560724325552	0.15053203511150853	339.9960491437
316.2857	C18H39NO3	3.569250724134244	3.8903192802497224	0.32106855611547874	317.29299411421005
397.1319	C15H24N6O6S	3.6155983223009156	3.71194550662735	0.09634718432643419	416.14780351584
153.0173	C7H6O4	4.000285785013076	4.037977582613111	0.03769179760003568	154.02660867065998
225.0991	C9H14N4O3	3.587353663197598	3.779764309078268	0.1924106458806704	226.10659032686
184.0021	C3H8NO6P	4.703183043375358	5.235203732503727	0.5320206891283696	185.00892360872
