Alignment	Formula	Before	After	Ratio	Daltons
317.2143	C20H30O3	4.067405658437824	4.0441361127725	-0.023269545665324475	318.21949482078
808.118	C23H38N7O17P3S	3.9403928224592533	4.180600834106638	0.24020801164738492	809.12577367478
151.0403	C5H4N4O2	3.7374356938245636	3.823883985453312	0.08644829162874842	152.03342538660002
165.0554	C9H10O3	4.1958826940272	4.315256144854093	0.11937345082689282	166.06299417937998
166.0506	C8H9NO3	3.666269671544924	3.7392985498012945	0.07302887825637054	167.05824315211
168.0663	C8H11NO3	3.8670822396948727	4.010669910660829	0.14358767096595576	169.07389321624999
173.0454	C7H10O5	3.6590418560240874	3.825311415987694	0.16626955996360718	174.0528234185
179.0348	C9H8O4	3.709566740542544	3.79943199443077	0.08986525388822586	180.0422587348
251.0776	C10H12N4O4	3.6556895170341273	3.8456201203028257	0.1899306032686989	252.08585488228
266.0886	C10H13N5O4	3.637081434837864	3.8083298304200737	0.17124839558220914	267.09675391915005
71.0139	C3H4O2	3.871714530226882	3.986400858600889	0.11468632837400741	72.0211293674
85.0296	C4H6O2	4.045538796558886	4.140227431267277	0.09468863470839108	86.03677943154
