																																																																																									
Set	Cluster	ID	ionMz	Label	59.0137	71.0139	74.0249	85.0296	87.0086	88.0405	89.0245	101.0243	102.0562	109.0407	112.0518	113.0246	115.0038	117.0195	118.051	118.9807	122.0247	128.0355	129.0192	130.0506	130.0875	131.0355	131.0824	132.0303	133.014	135.0311	145.0144	145.0617	145.0984	146.0458	147.0297	147.0655	151.0403	152.0354	153.0173	154.062	165.0554	166.0506	166.9758	168.0663	171.0302	173.0095	173.0454	173.0711	179.0348	179.0561	184.0021	186.1139	211.0603	213.0145	218.1033	225.0991	237.0282	249.0552	251.0776	259.0227	266.0886	279.2331	307.0311	316.2857	317.2143	323.0277	338.9889	346.0558	347.0589	362.0509	365.0531	367.0185	388.9441	397.1319	401.0173	426.0221	441.3372	489.9937	505.9889	521.984	545.3994	604.0696	606.0744	611.144	664.117	665.2139	766.1076	784.1495	808.118
A	WT	10	0010 / zwf1^ 3.4	zwf1^	63538	1122	5016	445	1684	1628	2079	426	1394	2744	2359	2528	2944	1148	67931	3759	458	59818	927	571	50389	988	72444	31295	15223	6040	3144	108217	9084	152101	2665	5588	2378	1106	1413	65004	2192	1343	1201	1852	1688	1328	1307	1780	1203	9770	33218	1138	3098	1865	4737	1919	10173	4587	2843	37115	1628	5073	1191	2392	1384	4446	41934	14819	3360	2505	3825	2668	1387	2804	2094	76580	2786	3503	197141	30407	7147	79450	135983	8626	6443	3870	5657	2946	6327
A	WT	11	0011 / pck1^ 2.4	pck1^	33968	1496	3792	1289	2829	690	1960	1038	714	2174	1924	3433	1184	1644	47889	4424	883	32877	3395	820	33048	739	48855	12268	12777	7011	1231	26129	14789	40585	4788	5072	1444	241	2152	32908	2534	491	1086	2655	1573	3974	1463	2024	727	10227	17098	2850	3838	2781	2326	2836	7424	6943	2139	78675	1122	4063	1001	581	1175	7369	75646	96077	13116	4166	4358	4137	1072	3522	2467	118101	2556	3834	91832	17222	3332	43544	122538	8787	15937	4800	7941	4592	6114
A	WT	12	0012 / pck1^ 2.4	pck1^	22565	1443	2265	1072	1470	821	1947	1057	779	752	1924	3077	651	368	37340	4469	461	21008	1622	161	28899	1316	35735	8717	5048	6292	3589	20108	13076	28638	1788	3076	833	2079	2257	17593	1990	1591	566	2159	3618	3466	852	1483	802	7700	10145	2307	4102	2987	2785	2236	6740	6251	2919	64985	1421	5838	2284	1626	1253	7123	55175	69676	9826	3126	2011	2425	1840	1829	1390	93505	2102	3685	71053	12663	2010	33046	90194	6764	12166	3541	5093	3797	4205
A	WT	13	0013 / pck1^ 2.4	pck1^	36285	1810	4060	1329	2535	304	3009	1610	868	1570	2161	4729	1622	2597	56062	5227	1008	36499	1704	3086	43894	1814	48468	13609	15518	6340	2150	32009	16172	51709	4079	5808	2640	1003	1468	40841	3071	1775	1560	2304	2430	4878	797	1615	1038	12723	14713	2092	2799	4009	3910	3865	9967	9160	1848	90128	1661	4733	1439	660	1787	7452	84822	98912	15664	5719	4263	2389	1951	3144	2165	127544	2922	2528	91275	18559	2929	46944	138287	9483	14447	3850	7393	4266	6319
A	WT	14	0014 / pck1^ 2.4	pck1^	30275	678	3406	622	981	431	2085	1901	191	1983	2717	2414	1225	1414	46891	6014	562	25481	2632	672	33947	1348	44777	11587	9238	7675	3202	26478	16145	38372	2581	3185	1638	899	2338	28583	2887	1121	1439	3029	3455	4160	1373	1776	853	9133	13712	2201	3429	1728	2391	2457	6961	6363	3453	70248	1825	5350	1633	1691	1741	7583	64237	79133	13747	3283	3734	2586	1819	3181	2385	106399	1711	3479	73356	14865	2604	35976	107078	7822	12518	3170	5731	4448	4696
A	WT	15	0015 / pck1^ 2.4	pck1^	34858	1257	4116	2149	1629	891	2004	1572	1246	2704	2908	4282	2094	917	55687	5997	717	35602	2678	526	49702	1152	58461	14137	14470	7071	4857	36083	21547	62750	2337	4559	584	916	3923	42735	3158	1825	114	1151	832	5248	883	1441	702	11753	18065	1230	5067	3128	3802	2585	10001	6997	1505	87208	1313	5597	1362	1761	2779	8088	84750	103045	14492	5346	3534	3254	1078	3515	2249	126284	3056	3976	85368	17731	3467	41368	132745	10627	14631	4577	8116	3130	6239
A	WT	16	0016 / pck1^ 2.4	pck1^	28558	1054	2945	1751	1801	1048	2953	1082	479	1415	3040	2657	1052	836	38726	5589	540	25958	1898	897	32343	2283	44874	8065	5477	5960	2424	22686	17115	37895	2785	3855	1417	1350	736	24731	3855	1753	1836	3029	3683	4949	882	2130	1100	7127	13596	5119	5364	4471	1806	1626	8314	5527	2437	68791	944	4445	1946	1293	2457	6730	62097	77589	10968	3937	3324	2995	1368	2338	2368	103764	2988	3458	73503	13974	1732	30095	97219	6782	11045	2327	4296	3318	5083
A	WT	17	0017 / pck1^ 2.4	pck1^	36375	1359	3850	994	1832	942	2658	499	1438	2438	3063	2986	2705	1377	53177	5550	921	35397	1342	1132	41808	706	47157	13398	15227	6249	4714	33923	20286	47280	2752	4968	1028	1006	3635	37098	3341	1264	1776	1786	3226	4355	1056	877	1066	10759	14755	1901	3455	1117	3556	1661	9322	7074	2267	89224	1822	4431	1831	1336	1973	8617	80384	100808	13927	4154	2926	3747	771	2436	1033	120754	2219	3077	85457	16093	3369	44685	131591	9903	15289	3639	8087	3562	6456
A	WT	18	0018 / pck1^ 2.4	pck1^	31684	1724	3086	1168	1584	640	3578	1365	1072	1691	2133	2975	2183	1068	44390	5148	974	30290	1310	398	29803	1515	41815	13230	11782	7365	2760	23813	15056	44303	2830	4496	2044	1803	1570	30331	1721	1503	765	2913	2122	4013	1517	1256	1125	9609	15565	3086	4589	2728	3343	2471	7732	5451	3314	69838	737	5225	562	2216	2178	8812	68510	88348	13883	4906	3764	3761	835	2759	1810	112420	4354	3444	83823	13971	2915	40911	118780	7250	14697	3433	6098	3451	7039
A	WT	19	0019 / pck1^ 2.4	pck1^	25583	633	1624	1169	1728	297	2141	587	1170	638	1004	2737	529	1188	37211	6122	352	23792	1234	1215	18625	823	28282	10012	6969	7788	2888	18812	10194	30562	1905	3059	888	1563	1690	20386	2302	1757	1200	2241	4538	2399	391	1376	642	10910	9759	1581	3664	4350	2897	1964	5693	4299	2908	63690	773	4415	825	1813	1304	7638	59963	92290	12801	4371	3293	2317	1764	2153	1793	115355	2304	3411	71480	14136	2486	41376	133155	10988	15046	4318	5020	4279	5277
A	WT	20	0020 / pck1^ 2.4	pck1^	24293	492	3396	1198	1207	937	1089	156	488	1452	1646	2515	853	1362	30156	3880	530	19474	1250	809	20052	659	26627	9036	7827	5215	742	15906	10205	25042	1322	2595	816	830	1602	14629	2276	993	698	3258	3180	2994	471	1203	655	6147	10809	2397	3759	2040	2474	2736	5938	4894	3065	55249	1238	4142	781	1545	1578	7363	51562	74970	10503	3896	2587	2890	1935	2366	1352	100394	2307	3486	64199	13413	1894	32940	99948	7502	15427	2868	5579	3242	4439
