Alignment ID,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,102,102,102,102,102,102,102,101,101,101,101,101,101,101,101,101,101,103,103,103,103,103,103,103,103,103,103,211,211,212,212,213,213,214,214,215,215,411,411,412,412,413,413,414,414,415,415,421,421,422,422,423,423,424,424,425,425,321,321,322,322,323,323,324,324,325,325,111,111,112,112,113,113,114,114,115,115,121,121,122,122,123,123,124,124,125,125
1,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-3.42717,-4.16264,-5.5628,-3.7935,-3.39032,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-3.79661,-5.5628,-3.95087,-3.83751,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-3.45253,-3.73483,-5.5628,-5.5628,-3.48823,-3.36962,-5.5628,-4.31101,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-4.32601,-5.5628,-3.44257,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-4.29858,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-3.54251,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-5.5628,-3.78076,-5.5628,-5.5628,-4.24048,-3.67858,-3.56562,-4.49917,-4.5628,-5.5628,-5.5628
2,-4.08448,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-4.55678,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-4.5322,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-3.72285,-4.15509,-3.98467,-5.67112,-5.67112,-5.67112,-5.67112,-3.40423,-3.66426,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-4.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112,-5.67112
3,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-3.27197,-5.44288,-5.44288,-5.44288,-5.44288,-2.94667,-3.05228,-3.0448,-3.04157,-3.02144,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-3.21975,-3.23894,-3.28288,-3.29701,-3.364,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-4.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-4.10448,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288,-5.44288
4,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-4.22597,-5.3865,-5.3865,-5.3865,-4.3865,-5.3865,-5.3865,-3.98252,-4.1344,-3.62278,-5.3865,-3.93402,-3.64143,-3.57354,-3.25012,-3.14181,-5.3865,-3.85675,-5.3865,-4.22269,-5.3865,-5.3865,-4.34353,-4.25029,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-4.06624,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865,-5.3865
5,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-4.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-3.85739,-3.77534,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-3.85379,-3.46383,-3.81261,-3.35655,-3.73561,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758,-5.39758
6,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-4.3732,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-3.73589,-3.96978,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-3.76133,-4.77166,-5.77166,-4.61468,-3.86149,-3.94718,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-5.77166,-3.32552,-3.2994
8,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-2.93158,-3.48585,-3.37511,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-3.96592,-4.25043,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-4.61737,-5.61737,-5.61737,-5.61737,-4.19153,-5.61737,-5.61737,-5.61737,-3.23265,-5.61737,-5.61737,-5.61737,-3.96608,-3.07549,-5.61737,-3.41163,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-3.7527,-5.61737,-4.02331,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737,-5.61737
11,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-4.5167,-5.5167,-5.5167,-3.14625,-3.55398,-3.49786,-5.5167,-5.5167,-5.5167,-5.5167,-4.44227,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-4.10389,-4.32129,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-3.08156,-5.5167,-5.5167,-5.5167,-5.5167,-3.12541,-5.5167,-3.72502,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-3.85003,-5.5167,-3.94679,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167,-5.5167
12,-5.55612,-5.55612,-5.55612,-5.55612,-3.78798,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-3.50617,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-3.50791,-3.49769,-3.34422,-3.07747,-3.51251,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-5.55612,-4.55612,-5.55612,-5.55612,-5.55612
